title,type,actor,genres,price
ONTACT 체험 뮤지컬 헬로카봇 시즌5 ‘별똥별을 지켜라!’,musical,HelloCarBot,child|happy|fun|car|kids,11000
"STUDIO WE : LIVE #5 [ONEWEVE, 두 별빛에 만개한 기억]",concert,Onewe,happy|fun|band,26400
JBJ95 4th Mini Album [JASMIN] SHOWCASE,showcase,JBJ95,dance|fun|idol|music|new,10120
JBJ95 2nd CONCERT [CELEBRITY PARTY 2019] IN SEOUL,concert,JBJ95,dance|fun|idol|music,26400
몬스타엑스 FAN－CON [MX HOME PARTY],concert,MONSTAX,fun|idol|music|talk|game|party,26400
SF9 공식 팬클럽 FANTASY 3기 팬미팅 [셒구 워크숍],fanmeeting,SF9,happy|fun|idol|talk,27060
"Beyond LIVE - 2020 TVXQ! ONLINE FANMEETING “동(冬),방(房),신기 with Cassiopeia”",fanmeeting,TVXQ,dance|fun|idol|talk|beyond,39600
Beyond LIVE - NCT : RESONANCE 'Global Wave',concert,NCT,dance|fun|idol|music|beyond,44000
V LIVE +Beyond LIVE - BAEKHYUN : LIGHT,concert,BaekHyun,dance|fun|idol|music|beyond,44000
젠틀맨스가이드：사랑과 살인편,musical,KimDongWan|ParkEunTae|LeeSangLee,fun|music|love|london,35000
2021 BTOB 4U ONLINE CONCERT,concert,BTOB,dance|fun|idol|music,59000
청춘아레나 2020,talk concert,HwangKwanghee|YangJoonil|aiki,talk|music|event|social,44000
WOODZ : NOT JUST A CONCERT - W BOX,concert,WOODZ,happy|fun|idol|music,35000
PENTAGON ONLINE CONCERT ［WE L:VE］,concert,PENTAGON,dance|fun|idol|music,39000
굳빠이이상+금란방,musical,ChoiInHyeong|KimGeonHye,music|dance,25000
XIA ONLINE CONCERT ‘Pit A Pat’,concert,XIA,happy|fun|idol|music,45000
존경하는 엘레나 선생님,performance,JeongJaeEun|ParkJeongBok,life|social|student,18000
BACK TO THE WONDERLAND,FANMEETING,VICTON,happy|fun|idol|music,33000
창작신작 <불꽃놀이>,performance,KwonEunHye ,culture|music,30000
귀환,musical,YoonJiSung|DO,army|music|boy|sad,25000
푸르게 빛나던 우리의 계절,concert,SuperJunior-KRY,ballad|happy|idol|music,33000
Crush on us,concert,Oneus,happy|fun|idol|music,30000
SUPER JUNIOR 15th Anniversary Special Event ? 초대,fanmeeting,SuperJunior,happy|fun|idol|talk,39600
E'LAST ‘온라인 미니 콘서트 DAY DREAM’,concert,ELAST ,happy|fun|idol|music,30800
2PM TYHG <태양현곰 Special Day>,concert,2PM,dance|fun|idol|music,41800
SBS Super concert <2020 SUPER ON:TACT>,concert,TheBoys|ITZY|Twice,happy|fun|idol|music|family,33000
NOOB CON ,concert,SF9,happy|sleep|idol|music,33000
CRAVITY COLLECTION : C-EXPRESS,fanmeeting,CRAVITY,happy|fun|idol|talk,35200
THEN TO NOW,concert,AmoebaCulture,hiphop|fun|music|family|artist,22000
"[K-Star Real Today_Zoom Live] 월간데이트, 休 정민현성 for VIP",fanmeeting,boyfriend,happy|fun|idol|talk,88000
O! NEW E!volution,concert,Onewe,ballad|fun|band|talk|rock,33000
HELLO! WM ONTACT 2020 ,concert,OhMyGirl|ONF|B1A4,dance|fun|idol|music|family,33000
MX HOME PARTY,concert,MonstaX,fun|idol|music|party,26400
TEEN TOP 10 LIVE,concert,TeenTop,dance|fun|idol|music,35200
윤조 PRE-팬미팅 레스토랑 & 룩북 스폐셜,fanmeeting,YunJo,happy|fun|idol|talk,22000
TWICE : World in A Day,concert,Twice,happy|fun|idol|music|beyond,33000
Kevin's 1st Fan Meeting in Korea + PRE-팬미팅 스폐셜,fanmeeting,Kevin,happy|fun|idol|talk,22000
RAVI SUMMER EP [PARADISE] RELEASE PARTY,concert,Ravi,fun|idol|music|hiphop,30800
2020 드림콘서트 CONNECT:D,concert,Oneus|ITZY|StrayKids,happy|fun|idol|music|family,4400
광염소나타,musical,RyeoWook|YooHweseung|KimJuho,orchestra|music|death,38000
2020 뮤지컬〈모차르트!〉10주년 기념 공연 LIVE!,musical,XIA,music|artist|mozart|Classic,39000
WE:HIGH,fanmeeting,Wei,music|idol|talk|fun,44000
신비아파트 뮤지컬 시즌3,musical,ParkSoEun,kids|child|fun|music,5500
2020 XIA Ballad＆Musical Online Concert with Orchestra,concert,XIA,music|artist|orchestra|ballad,50000
루드윅：베토벤 더 피아노,musical,KimJooHo|ParkSoHyang,music|artist|Classic|Beethoven,15000
Studio Secret Live with WISUE,concert,Wisue,happy|ballad|idol|talk,10000
놈X놈,performance,JeonBeomSeok|ChaeInAe|LimJooHyun,magic|fun,10000
SMOKE ＆ MIRRORS,performance,ChoiHyunWoo,magic|fun,50000
개와 고양이의 시간,musical,SongWonKeun|GoHoonJung,happy|sad|friend,20000
Pink of the year,concert,Apink,happy|dance|idol|music,35000
