title,type,actor,genres,price
<노래> 앵콜 콘서트,concert,SungSiKyung,music|ballad|artist|sad,121000
10cm 2019 겨울콘서트,concert,10cm,ballad|music|band|artist,110000
2019 김동률 콘서트 '오래된 노래',concert,KimDongRyul,music|artist|sad|R&B,80000
2019 밴드데이,concert,Daybreak|TheSolutions|,band|music,30000
2019 부산국제 록페스티벌,concert,AKMU|NELL|PIA|GOD,rock|music|metal,66000
2019 비욘드 더 풀파티,concert,Gray,rock|hiphop|music,77000
2019 아르떼 재즈 나이트,concert,DanielKoQuartet ,zazz|blues|music,48000
2019 힙합페스티벌 RIDE THE BEAT,concert,SimonDominic|Gray|ChangMo|HashSwan,rap|hiphop,88000
2020XiA Ballad&MusicalOnline Concert with Orchestra,musical,XIA ,music|ballad|artist,100000
AIDA,musical,"YoonGongJu|JeonNaYoung|KimWooHyung|ChoiJaeRim	",romance|drama|happy|music,65000
DRACULA,musical,XIA|JeonDongSeok|JoJungEun|LimHyeYoung,music|romance|horror|drama,90000
DUTY FREE 2019,concert,DynamicDuo,music|fun|happy,121000
EXO(엑소) PLANET #5 -EXplOration[dot]- ,concert,Exo,idol|dance|fun|music|happy,121000
Inside - TAEYEON with S♡NE,fanmeeting,TaeYeon,fun|music|artist|idol|dance|ballad,66000
It’ Soul Right,concert,BrownEyedSoul,ballad|music|R&B|,99000
Jekyll & hyde,musical,MinUHyeok|ParkEunTae|YoonGongJu|IVY,thriller|music|romance,90000
KB 랩비트페스티벌,concert,ZICO|Basick|Paloalto|TheQuiett,music|hiphop|rap,69900
Matilda ,musical,"ParkHyeMi|ChoiJungWon|ChoiJaeRim|KimWooHyung	",comedy|family|fantasy|music,90000
Phantom,musical,LimTaeKyung|JungSungHwa|KimSoonYoung|LeeJiHye,romance|drama|music,120000
Rock Christmas Concert,concert,KimKyungHo,rock|artist|music|fun,110000
Someday At Christmas,concert,LeeSeungChul,artist|ballad|music,154000
Someday Festival,concert,Henry|SweetSorrow|EpitoneProject|EricNam|AKMU,idol|music|family|happy|fun,88000
THE UNSEEN,concert,TaeYeon,music|idol|happy|fun|artist,121000
TWICE FANMEETING ONCE HALLOWEEN 2,fanmeeting,TWICE,fun|happy|artist|music|idol,152600
거미 콘서트,concert,Geomi,music|ballad|R&B,88000
국카스텐 콘서트 HAPPENING 〈ESCAPE VELOCITY〉,concert,Guckkasten,rock|band|music,77000
그날들,musical ,YooJunSang|JiChangWook|ChoiSeoYeon|UmKiJun,drama|romance|music|sad|action,120000
그리스,musical,SeoKyungSoo|KimTaeO|YangSeoYoon,family|music|romance|meloh,139200
김연우 콘서트,concert,KimYeonwoo,music|ballad|artist,143000
뉴이스트 팬미팅 ,fanmeeting,NU'EST,idol|happy|fun,44000
다비치 콘서트,concert,DAVICHI,music|ballad|happy,121000
레베카,musical,ShinYoungSook|OckJoohyun|JangEunAh|Ali|UmKiJoon|Kai,music|fun|family|drama|romance|mystery,60000
맘마미아,musical,ChoiJungWon|ShinYoungSook|HongJiMin|LUNA,family||comedy|romance|music,40000
미스트롯 전국투어 콘서트,concert,SongGaIn|Hongja|JeongMiae|SookHaeng,music|family|fun|happy,88000
봄 그리고 선물,fanmeeting,JooWon,happy|fun|actor,60000
블랙슈트,musical,LeeSeungHyun|YooSungJae|LeeSeungHeon|KimSoonTaek,drama|music,60000
서울재즈페스티벌 2019,concert,EpikHigh|SongYoungJu|ChristianMcBride|LucidFall|JungJaeHyung,music|zazz|blues,245000
시데레우스,musical,ParkMinSung|ImByungGeun|LeeChangYong,fantasy|family|music,44000
신과함께,musical,JoHyungKyun|JungWonYoung|SeoKyungSoo,sad|family|action|music,90000
신흥무관학교,musical,"LimChanMin|JinSangHyun	",action|dance|family|music|history,99000
올나잇 스탠드 2019 <광끼의 갓싸이>,concert,PSY,fun|happy|music|artist|dance,143000
웃는 남자 ,musical,LeeSeokHoon|KyuHyun|ShinYoungSook|KimSoHyang,family|drama|music,150000
재즈팝콘 2019,concert,JKKimDongWook|DaeNiJung,zazz|blues|music,55000
좋은 날 : May your everyday be a good day,fanmeeting,ParkBoGum,fun|happy,44000
청춘어게인,concert,NaHoonA,music|family|fun|happy|oldies,165000
청춘페스티벌,concert,ParkMyungSoo|LeeSeungYun|Jannabi,music|family|ballad|fun,55000
친정엄마,musical,NaMoonHee|KimSuMi,family|sad|happy|music|drama,110000
트롯트의 임영웅 Lunch concert,concert,ImYoungWoong,family|music|fun|oldies,99000
풍월주,musical,LeeYul/LeeSeokJun|MoonJinA|JeonSungMin,romance|drama|music|fantasy,44000
힙합플레이야 페스티벌 2019,concert,ZICO|Paloalto|Beenzino|Deepflow,hiphop|rap|fun,88000
